timestamp,object_type,confidence,x1,y1,x2,y2
2025-05-03 16:02:08,knife,0.4113,227,105,315,249
2025-05-03 16:02:15,knife,0.3144,237,31,338,249
2025-05-03 16:02:17,knife,0.8808,150,86,229,265
2025-05-03 16:02:19,knife,0.8840,169,88,243,270
